headline,pub_date,source,query
Deal With It: Jerusalem is Israel's Capital,,HonestReporting,US Embassy move to Jerusalem
Palestinians Trying to Breach Border as US Opens Jerusalem Embassy,,HonestReporting,US Embassy move to Jerusalem
Saeb Erekat 'Threatens' Violence Over US Embassy Move,,HonestReporting,US Embassy move to Jerusalem
Trump to Recognize Jerusalem as Israeli Capital?,,HonestReporting,US Embassy move to Jerusalem
Trump to Recognize Jerusalem's Capital 'Reality',,HonestReporting,US Embassy move to Jerusalem
Does the Media Really Understand the Gaza Violence?,,HonestReporting,US Embassy move to Jerusalem
What's Really Behind Trashing of Kerem Shalom?,,HonestReporting,US Embassy move to Jerusalem
Trump Delays Decision on Recognizing Jerusalem,,HonestReporting,US Embassy move to Jerusalem
"Clashes Paused as Gaza Buries Dead, World Slams Israel",,HonestReporting,US Embassy move to Jerusalem
Palestinians Take Jerusalem Fight to UN General Assembly,,HonestReporting,US Embassy move to Jerusalem
Palestinian Terror Group To Enter German Politics?,,HonestReporting,US Embassy move to Jerusalem
US embassy move to Jerusalem would spark 'fanaticism and violence' and end US status as negotiator - Arab leaders,,Mondoweiss,US Embassy move to Jerusalem
Anyone who says Jerusalem embassy move was painless doesn't think Gazans are human beings,,Mondoweiss,US Embassy move to Jerusalem
We have been ignored': Palestinian diaspora in Guatemala responds to Jerusalem embassy move,,Mondoweiss,US Embassy move to Jerusalem
Live Blog: Massacre in Gaza as US and Israel celebrate embassy move to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem
"Trump intends to move US embassy to Jerusalem, Palestinian president says",,Mondoweiss,US Embassy move to Jerusalem
U.S. embassy to stay in Tel Aviv as White House shuts down rumors of imminent Jerusalem move,,Mondoweiss,US Embassy move to Jerusalem
Israeli gov't doesn't really want US to move embassy to Jerusalem - Foxman,,Mondoweiss,US Embassy move to Jerusalem
Trump's vow to move embassy to Jerusalem is now a 'decision-making process',,Mondoweiss,US Embassy move to Jerusalem
Trump 'promise' to move US embassy to Jerusalem stirs international furor,,Mondoweiss,US Embassy move to Jerusalem
Bachmann has secured funds from private donor to move US embassy to Jerusalem,,Mondoweiss,US Embassy move to Jerusalem
"Palestinian Christians issue a cry for hope, to end 'exclusivity and apartheid'",,Mondoweiss,US Embassy move to Jerusalem
US Palestinians release list of 2020 principles for 'a political world that too often ignores our voices',,Mondoweiss,US Embassy move to Jerusalem
"Trump has a 'magic moment' in June 2017 to move the US embassy to Jerusalem, Israel lobbyist tells NY synagogue",,Mondoweiss,US Embassy move to Jerusalem
"Sanders calls Netanyahu a 'reactionary racist', says he'll consider moving US embassy back to Tel Aviv",,Mondoweiss,US Embassy move to Jerusalem